theta       Dist 
293.09       02347.00
294.02       02384.75
294.91       02391.00
295.83       02394.25
296.73       02423.50
297.62       02461.75
298.56       02460.50
299.48       02470.75
300.38       02504.50
301.28       02528.25
302.19       02561.25
303.08       02585.50
303.98       02606.00
305.05       02615.00
305.92       02689.50
306.83       02691.00
307.77       02706.50
308.67       02747.00
309.59       02790.75
310.50       02836.50
311.39       02850.75
312.31       02897.50
313.23       02955.00
314.14       02922.00
315.08       02871.75
316.00       02823.75
316.92       02792.75
317.95       02346.25
318.84       02329.75
319.75       02328.75
320.67       02329.00
321.58       02358.00
322.47       02567.50
323.38       02540.25
324.30       02507.50
325.22       02481.00
326.17       02457.50
327.08       02438.75
328.02       02396.75
328.77       02375.00
329.67       02358.50
330.61       02340.25
